Pizza		
Végétarienne	Tomages fraîches, tapenade d’olives, tomates séchées, oignons	9
Jambon mozza	Blancs de volaille, base mozarella, parmesan, tomates fraiches	10
Trois fromage	Mozarella, chèvre, gorgonzola, tomates fraîches, sauce tomate	10
Régina	Jambon cuit, champignons de Paris frais, mozzarella, sauce tomate	11
Margharita	Fromage mozzarella, sauce tomate, olives, oignon	12
Vesuvia	Choriza, poivrons frais, oignons rouges, œuf mozzarella	11
Merguez	Merguez, bœuf et mouton, oignons rouges, dés de tomates	11
Dessert		
Café gourmand	Café décaféiné ou thé, Gaufre ou Moelleux au chocolat	5
Moelleux au chocolat	Moelleux au chocolat, amandes grillées 	7
Crousti poire	Mini pizza cuite à la minute, crème d’amandes, poire caramélisée	7
Mousse au chocolat	Du chocolat noir fondant allégé aux blancs d’oeufs	6,5
Glaces		
Coupe Antillaise	Rhum-Raisin (3 boules), rhum (3cl)	3
Colonel italien	Citron (3 boules), Grappa Piava (3cl)	32
Franca coulis	Sorbets : citron, framboise, fruit de la passion	45
